reference_num,name,lat,lon,diameter,confidence,elevation,rho,dn_inside,dn_outside,dn_difference,continous_ejecta_rad,flow_length,dark_halo_diameter,ejecta_completeness,rim_completeness,planform,morphologic_class,central_structure_diameter,wall_terracing,wall_width,multiple_crater,floor_reflectivity,parabolic_feature,impactor_direction,multi_asteroid_grp_num,terrain,interior_flat_floor,exterior_embayment,tectionically_deformed,degradation_state,comments,wall_terracing_detail,multicrater_detail,planform_detail,morph_class_detail,floor_reflectivity_detail,parabolic_detail,terrain_detail,interior_floor_detail,exterior_embayment_detail,techtonically_deformed_detail,degradation_state_detail
752,Leslie,-11.228,13.497,7.2,1,6051.64,2.55,0,0,0,9.6,17.9,33,0.8,1.0,i,2,0.0,u,0.0,s,i,n,ese,0,pf,n,n,n,1,null,unterraced,single crater,irregular,knobby base,intermediate,no,null,no,no,no,pristine with ejecta
753,Yemysh,11.893,214.708,7.2,1,6052.4,2.55,0,0,0,9.6,0.0,0,1.0,1.0,i,2,0.0,u,0.0,m,b,n,null,0,p,n,n,n,1,null,unterraced,multiple floor,irregular,knobby base,bright,no,plains,no,no,no,pristine with ejecta
754,Odarka,40.785,138.202,7.2,1,6051.6,2.55,0,0,0,11.1,25.8,70,0.5,1.0,i,2,0.0,u,0.0,m,i,n,wsw,0,p,n,n,n,1,null,unterraced,multiple floor,irregular,knobby base,intermediate,no,plains,no,no,no,pristine with ejecta
755,Zakiya,-66.537,234.144,7.1,1,6051.2,3.18,0,0,0,13.1,0.0,0,1.0,1.0,c,2,0.0,u,0.0,s,i,n,null,0,p,n,n,n,1,null,unterraced,single crater,circular,knobby base,intermediate,no,plains,no,no,no,pristine with ejecta
756,Neda,16.71,313.514,7.1,2,6051.35,0.95,0,0,0,7.6,0.0,40,1.0,1.0,c,2,0.0,u,0.0,s,b,n,null,0,v,n,n,n,1,null,unterraced,single crater,circular,knobby base,bright,no,volcano,no,no,no,pristine with ejecta
757,Fazu,32.416,106.063,7.1,2,6050.75,1.91,0,0,0,10.4,0.0,60,1.0,1.0,i,2,0.0,u,0.0,m,i,n,null,0,p,n,n,n,1,null,unterraced,multiple floor,irregular,knobby base,intermediate,no,plains,no,no,no,pristine with ejecta
758,Shasenem,-44.058,258.925,7.0,1,6051.47,2.23,0,0,0,11.3,0.0,0,1.0,1.0,e,2,0.0,u,0.0,s,i,n,null,0,p,n,n,n,1,null,unterraced,single crater,null,knobby base,intermediate,no,plains,no,no,no,pristine with ejecta
759,Royle,-32.711,193.719,7.0,1,6051.54,0.95,0,0,0,11.9,0.0,0,0.8,1.0,i,2,0.0,u,0.0,s,i,n,null,0,p,n,n,n,1,null,unterraced,single crater,irregular,knobby base,intermediate,no,plains,no,no,no,pristine with ejecta
76,Truth,28.701,287.8,46.1,1,6054.02,3.18,131,121,10,34.7,150.1,120,0.9,1.0,c,4,11.9,t,4.5,s,i,n,ese,0,p,y,n,n,1,null,terraced,single crater,circular,several peaks,intermediate,no,plains,yes,no,no,pristine with ejecta
760,Izakay,-12.334,210.872,7.0,1,6052.18,1.59,0,0,0,14.5,0.0,0,0.7,1.0,c,2,0.0,t,2.7,s,i,n,se,0,v,y,n,y,1,null,terraced,single crater,circular,knobby base,intermediate,no,volcano,yes,no,yes,pristine with ejecta
